tak,,,Origin,,,,,,,,Rationale,,,,,,,,,Data,,,,,,,,,,,,EEG processing,,,,,,,,Methodology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Results and discussion,,,,,,,,,,,,,Reviewed by,,,,
,Title,Year,Authors,Journal / Origin,Preprint first,Type of paper,Lab / School / Company,Country,Pages,,Domain 1,Domain 2,Domain 3,Domain 4,High-level Goal,Practical Goal,Task/Paradigm,Motivation for DL,,EEG Hardware,Neural response pattern,Dataset name,Dataset accessibility,Data,Data - samples,Data - time,Data - subjects,Nb Channels,Sampling rate,Offline / Online,,Preprocessing,Preprocessing (clean),Artefact handling,Artefact handling (clean),Features,Features (clean),Normalization,,Software,Architecture,Architecture (clean),Design peculiarities,EEG-specific design,Network Schema,Input format,Layers,Layers (clean),Activation function,Regularization,Regularization (clean),Nb Classes,Classes,Output format,Nb Parameters,Training procedure,Training procedure (clean),Optimizer,Optimizer (clean),Optim parameters,Minibatch size,Hyperparameter optim,Hyperparameter optim (clean),Data augmentation,Loss,Intra/Inter subject,Cross validation,Cross validation (clean),Data split,Performance metrics,Performance metrics (clean),Training hardware,,Training time,Results,Benchmarks,Baseline model type,Statistical analysis of performance,Analysis of learned parameters,Model inspection (clean),Discussion,Limitations,Code available,Code hosted on,Limited data,,First Reader,Second Reader,Validated by Author(s),,Citation
,Parallel convolutional-linear neural network for motor imagery classification,2015,"Sakhavi, Guan & Yan",European Signal Processing Conference,No,Conference,"BCI Lab, Singapore
National University of Singapore",Singapore,5,,Classification of EEG signals,BCI,Active,Motor imagery,New approach,Use DL for 4-class motor imagery using dynamic energy,Motor imagery,"Because traditional classifications, such as SVM, cannot handle this dynamical property, we proposed an architecture that inputs a dynamic energy representation of EEG data and utilizes convolutional neural networks for classification",,N/M,Motor imagery,BCI Competition IV - IIa,Public,"BCI competition dataset IV-2a
9 subjects x 4 classes x (72 x 2) x 6s
144 samples per class
(train:72 and test:72)",5184,518.4,9,22,250,Offline,,"1) Filter-Bank CSP (FBCSP)
9 filters from 4 to 40Hz",Yes,No,No,FBCSP,Frequency-domain,N/M,,"MATLAB
Torch","Parallel 1D-CNNs
+ MLP",CNN,Parallel convolutional layers with a one dimensional kernel in time. ,"Average pooling. In CNN architectures for images, max pooling is used because of its spatial invariance-inducing property. But training the EEG data with max pooling re- sulted in poor results. Therefore, average pooling is used.",Yes,"8
? (to be confirmed)",4x 2 CNN + MLP,9,ReLU,Dropout,Yes,4,"Left Hand
Right Hand
Feet
Tongue",4,N/M,N/M,N/M,SGD,SGD,N/M,N/M,N/M,N/M,N/M,"Negative 
Log-Likelihood",Intra,No,No,"Train: 50%
Test: 50%",Accuracy,accuracy,N/M,,N/M,70%,SVM,Traditional pipeline,Wilcoxon signed-rank test,No,No,"(1) Furthermore, deep architectures, due to there high learning capacity, have gained their success by being trained on large amounts of data. Unfortunately, limitation on gathering data for individual subjects is a barrier in EEG research. (2) Classification aside, there is one other element in BCI research that is valuable: interpretability of learned algorithms.","Our algorithm is not perfect in several aspects and can be improved: heavy pre-processing of data, choice of architecture and network parameters.",No,N/A,Yes,,Yannick Roy,TBR,TBC,,Sakhavi2015
,Deep learning of EEG signals for emotion recognition,2015,"Gao, Lee & Mehmood",IEEE International Conference on Multimedia & Expo Workshops,No,Conference,"Chonbuk National University, Korea",South Korea,5,,Classification of EEG signals,Monitoring,Affective,Emotion,Improve SOTA,Use DL (RBMs) for emotion classification,"Not clear...
(4 classes emotions)",To learn features from the data.,,EPOC (Emotiv),"Raw EEG
(Emotions)",Internal Recordings,Private,"21 Subjects x 4 classes x 45 epochs x 1sec 
input = 14 electrodes x 192 points
(1 sec assumed by visual inspection of their plots)",3780,63,21,14,N/M,Offline,,"1) Manual artifact removal with EEGLAB
2) Filtering  (they don't mention what/how)
3) Epochs Selection
4) Signal Averaging",Yes,Yes,Yes,Raw EEG,Raw EEG,N/M,,EEGLAB,RBM,RBM,N/M,Pre-training on all subjects with unlabeled data and fine-tuning on individual subject for intra subject classification with labeled data,Yes,192x14,RBM: 3,3,N/M,N/M,N/M,4,"Happy
Calm
Sad
Scared",4,N/M,"(1) Pre-Training across subject 
(unlabeled data)
(2) Fine-Tuning per subject 
(labeled data - backprop)",Pre-training,N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M,Intra,"10 Random Permutations
(per subject)",Train-Valid-Test,"Train: 160 epochs
Test: 20 epochs
(per subject)",Accuracy,accuracy,N/M,,N/M,"Subject United: 28.6 %
Subject Tied: 68.4 % 
Channel Selection: 57.2 %","KNN: 51.3 %
SVM: 60.8 %
ANN: 60 %",Traditional pipeline,No,No,No,It differs from the conventional methods as we apply deep learning on the raw signal without hand-crafted feature extraction.,N/M,No,N/A,No,,Yannick Roy,TBR,TBC,,Gao2015
,Feature learning from incomplete EEG with denoising autoencoder,2015,"Li, Struzik, Zhang & Cichocki",Neurocomputing,Yes,Journal,"RIKEN, Japan
Shanghai Jiao Tong University, China
Polish Academy of Sciences, Poland",Japan,9,,Improvement of processing tools,Feature learning,,,New approach,Use DAE or SVM on Lomb–Scargle periodograms for Motor Imagery with missing data (e.g. after artefact removal),Motor imagery,"""a neural network with more layers might possible achieve a better performance through in-depth feature learning""",,N/M,Motor imagery,Internal Recordings,Private,"3 subjects x 4 sessions x 15 trials x 4s
(4s --> 25x 1s window, 87.5% overlap)",4500,12,3,14,250,Offline,,N/M,N/M,No,No,"Lomb–Scargle periodograms
(Freq Bands Power)",Frequency-domain,Relative band powers,,N/M,DAE,AE,N/M,N/M,Yes,56x1,2,2,Sigmoid,N/M,N/M,2,"Right Hand
Left Hand",2,N/M,"1) Pre-training with DAE
2) Fine-tuning with output layer",Pre-training,N/M,N/M,"LR (Pre-Training): 0.9
LR (Fine-Tuning): 0.9",25,"Trial and Error*
(assumed, not mentioned)",N/M,"Overlapping Windows
87.5%",MSE,Intra,N/M,No,N/M,Accuracy,accuracy,N/M,,N/M,"See papers, it shows results per subject, per session, 
with 10% to 80% of missing data.
Roughly ~60-8X% accuracy","SVM
(on Lomb–Scargle periodogram, no real benchmark)",Traditional pipeline,No,No,No,"""Therefore, the classification performance using the proposed method for incomplete segments is acceptable for a BCI application system. This means that the segment with noise contamination can still be utilized to output commands after only removing the noisy portion, instead of discarding the whole segment, as is conventionally done in BCI systems.""",N/M,No,N/A,No,,Yannick Roy,Hubert Banville,TBC,,Li2015
,Superchords: the atoms of thought,2015,Normand & Ferreira,Arxiv,Yes,Preprint, University of Lisbon,Portugal,5,,Classification of EEG signals,BCI,Active,Motor imagery,New approach: Brain Orchestra Approach (BOA),"Use DL (H2O) to classify Motor Imagery, using existing dataset ",Motor imagery,"Explore H2O and their BOA. 
The concept of superchords",,N/M,Motor imagery,eegmmidb,Public,"eegmidb
109 subjects, keeping only 62ms to 1000ms
not clear if using the full dataset...",N/M,N/M,109,64,160,Offline,,1) Splitting each class in 10 datasets (10 to 160 first superchords),Yes,"N/M
(see H2O)",N/M,Superchords,Other,N/M,,R / R Studio,H2O,N/M,N/M,N/M,No,not clear,"N/M
(see H2O)",N/M,"N/M
(see H2O)","N/M
(see H2O)",N/M,5,"Left Hand
Right Hand
Both Hands
Feet
Rest","5 ?
(N/M)",N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M,Intra,No,No,"Train: 50%
Valid: 50%","Accuracy
Error = wrong preds / nb preds","accuracy, error",N/M,,N/M,> 80% Accuracy ( < 20% Errors),No,None,No,No,No,"there are positive indications that superchords are singular to each motor task present on the dataset. The authors do believe it would be possible to expand the concept of singular superchord to other mental activities, like reactions to faces or words.","1) Anticipation (Chavarriaga, 2012)
2) Quality of recordings
3) Sample representativity
4) Paradigm type",No,N/A,No,,Yannick Roy,TBR,TBC,,Normand2015
,On the use of convolutional neural networks and augmented CSP features for multi-class motor imagery of EEG signals classification,2015,"Yang, Sakhavi, Ang & Guan",IEEE International Conference in Medicine and Biology,No,Conference,"Agency for Science, Technology and Research (A*STAR)",Singapore,4,,Classification of EEG signals,BCI,Active,Motor imagery,Improve state-of-the-art,Use CSP + CNN for 5-class motor imagery classification ,Motor imagery,Replace hand-crafted feature selection methods with CNNs to learn structure from CSP features,,N/M,Motor imagery,BCI Competition IV - IIa,Public,"BCI IV competition IV, Data set IIa
9 subjects x 288 trials x 2 sessions x 2s / trial",5184,172.8,9,22,250,Offline,,None,No,N/M,N/M,Augmented CSP,Frequency-domain,N/M,,N/M,CNN,CNN,"Pooling layers also sub-sampled features maps (the intention was to select features).
3 methods to select features maps were proposed: random, all, and frequency complementary map selection (see paper) ",,Yes,60 x 48 x 1,"Conv: 2
FC: 1",3,N/M,N/M,N/M,,,N/M,N/M,Standard,Standard,SGD,SGD,lr=0.5,38,N/M,N/M,N/M,MSE,Inter,5x5 CV,k-fold,N/M,Accuracy,accuracy,N/M,,N/M,"Random selection of feature maps accuracy was smaller than baseline.
All feature maps and frequency complementary selection improved accuracy in ~1.5% and ~2.5%.
",Filter-bank CSP,Traditional pipeline,No,Feature map visualization,Analysis of weights,There was no significant improvement between frequency complementary selection and using all feature maps.,,No,N/A,No,,Isabela Albuquerque,TBR,TBC,,Yang2015a
,Prediction of driver's drowsy and alert states from EEG signals with deep learning,2015,"Hajinoroozi, Mao & Huang",International Workshop on Computational Advances in Multi-Sensor Adaptive Processing,No,Conference,University of Texas at San Antonio,USA,4,,Classification of EEG signals,Monitoring,Cognitive,Drowsiness,Prediction of driver’s cognitive states,Predict drowsiness or alert states,Driving in a virtual reality environment,Explore DL for assessing driver's cognitive state,,N/M,None,"Metev and Veiko (1998);
Lin et al. (2005);
Correa et al. (2014)",Private,"recorded: 70 sessions x 1.5h, from 37 subjects
used: 35074 x 1s
(1s non-overlapping windows)
",38971,584.57,37,30,250,,,1) ICA,N/M,No,No,Raw EEG,Raw EEG,N/M,,N/M,CNN +RBM,RBM,"1) CNN with all channels concatenated in a long vector
2) CNN for 2D inputs with one channel
3) CNN with 1D inputs and 30 channels
4) CNN with 1D inputs and 30 channels and RBM for feature extraction ",,Yes,"7500 x 1 x 1 (W x H x N channels)
250 x 30 x 1 
250 x 1 x 30","Conv: 2
FC: 1",3,Sigmoid,N/M,N/M,,,1,N/M,Standard,Standard,GD,SGD,N/M,N/M,N/M,N/M,N/M,Binary cross-entropy,Inter,Train-Valid-Test,Train-Valid-Test,"Train: 50 sessions
Valid: 10 sessions
Test: 10 sessions",ROC AUC,ROC AUC,N/M,,N/M,"All DNNs outperformed baseline methods with and without ICA.
AUC improvement w.r.t. baselines of ~27%",LDA and SVM on raw EEG,Traditional pipeline,No,No,No,CNN-3 presented better results in comparison to other DNNs. ICA decreased the performance of all methods.,,No,N/A,No,,Isabela Albuquerque,TBR,TBC,,Hajinoroozi2015
,Deep Extreme Learning Machine and Its Application in EEG Classification,2015,"Ding, Zhang, Xu, Guo & Zhang",Mathematical Problems in Engineering,No,Journal,"China University of Mining and Technology
Chinese Academy of Sciences",China,11,,Classification of EEG signals,BCI,Active,Slow cortical potentials,New Approach: DELM for EEG-BCI,"Explore ELM, KELM and DELM for EEG-based BCIs using existing datasets.","BCI Competition II Datasets IA et IB
Slow Coritcal Potentials",Not only does MLELM approximate the complicated function but it also does not need to iterate during the training process.,,N/M,(see dataset),"BCI Competition II - Ia;
BCI Competition II - Ib",Public,"DS1: 1 subject x 3.5s x (268 + 293)
DS2: 1 subject x 4.5s x (200 + 180)","591;
380","32.725;
28.5","1;
1",-1,256,,,"N/M
(they say they used ""preprocessed EEG"")",N/M,No,No,Raw EEG,Raw EEG,N/M,,Matlab,"DELM
(Deep Extreme Learning Machine)",N/M,"not clear
(to be reviewed)",N/M,Yes,"not clear
(to be reviewed)","not clear
(to be reviewed)",N/M,"Sigmoid
+ Kernel Functions: Gaussian",N/M,N/M,,,"not clear
(to be reviewed)",N/M,"not clear
(to be reviewed)",Standard,N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M,Intra,No,No,"[DS1] Train: 268
[DS1] Test: 293

[DS2] Train: 200
[DS2] Test: 180","Accuracy
Training Time
Testing Time","accuracy, training time, testing time",N/M,,"1) 6.7s
2) 8.9s","1) [Average] Training:  0.7515  |  Testing:  0.8650
1) [Best] Training:  0.7873  |  Testing:  0.9181
2) [Average] Training:  0.7151  |  Testing:  0.5211
2) [Best] Training:  0.8450  |  Testing:  0.6056",ELM vs KELM vs ML-ELM vs DELM,Traditional pipeline,No,No,No,"In this paper, DELM is used to classify preprocessed EEG data and the feature attributes of preprocessed EEG are not extracted, which has certain effects on the experimental results. Future research is to combine the EEG feature extraction methods and DELM, which will be applied to the EEG classification.",N/M,No,N/A,No,,Yannick Roy,TBR,TBC,,Ding2015
,Emotional Affect Estimation Using Video and EEG Data in Deep Neural Networks,2015,Frydenlund & Rudzicz,Canadian Conference on Artificial Intelligence,No,Journal,University of Toronto,Canada,8,,Classification of EEG signals,Monitoring,Affective,Emotion,"New Approach: Reusing downsampling ""wasted"" data for data augmentation","Reusing downsampling ""wasted"" data for data augmentation in a valence/arousal/dominance regression scale on DEAP dataset",Emotion Scale Regression (Arousal/Valence/Dominance) on DEAP ,Not much explanation. Probably for the multimodal aspect.,,N/M,"Emotions
(PSD)",DEAP,Public,"DEAP: 22 subjects (out of 32)
40 x 1-min video (keeping only 34sec)
880 epochs x 5 (data augmentation) = 4400",4400,498.7,22,32,512,Offline,,"1) Downsampled to 1/5
2) ICA -> Ocular Artifacts removal",Yes,Yes,Yes,"Frequency Bands 
(Theta, Slow Alpha, Alpha, Beta, Gamma)",Frequency-domain,z-score,,"EEGLAB
Deep Learning Toolbox [11]
Spearmint [15]
modified SPN code from [12]",NN,FC,N/M,N/M,No,"N/M
(multimodal)",2,2,"Sigmoid (layers)
Softmax (output)",N/M,N/M,N/A,"N/A
Regression ""Scale""","Scale [1-9] or [0-1]
(regression)",N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M,"Using Acq. Freq. Downsampling 
""throw away"" data
(downsampling 1/5 gives you 5x)",N/M,Inter,Leave-Two-Out,Leave-N-Samples-Out,"Train: 38 videos
Valid: 1 video
Test: 1 video
(not clear... assuming that ""partition"" = video)",RMSE,rmse,N/M,,N/M,"Arousal:   [1-9] 1.5778 ± 0.5301  ||   [0-1]  0.1972 ± 0.0663
Valence:  [1-9]  1.5396 ± 0.8797  ||   [0-1]  0.1925 ± 0.1100
Dominance:  [1-9]  0.1925 ± 0.1100  ||   [0-1]   0.2523 ± 0.0561 
Favourability:  [1-9]  2.2366 ± 0.5975  ||   [0-1]  0.2796 ± 0.0747   
Familiarity:  [1-9]  2.0432 ± 0.4010  ||   [0-1]  0.5108 ± 0.1002","Baseline
Linear Regression",Traditional pipeline,"Yes, 1-sided t-test
(NN vs Baseline)",No,No,"This work acts as a feasibility study for our ‘downsampling extension’ scheme, and further work needs to be done to examine its affect. Feature selection is another possible line of inquiry, since we have selected features based on linear relations, where non-linear relations may be more appropriate for DNNs.",N/M,No,N/A,No,,Yannick Roy,TBR,TBC,,Frydenlund2015
,Detecting Epileptic Seizures from EEG Data using Neural Networks,2015,"Pramod, Page, Mohsenin & Oates",Arxiv,Yes,Preprint,"University of Maryland, Baltimore County",USA,,,Classification of EEG signals,Clinical,Epilepsy,Detection,Improve SOTA: Using Dropout in NN for Seizure Detection,Using Dropout in NN for Seizure Detection,"Ongoing EEG recording, with and without seizures.",Use Dropout on NN for Epilepsy EEG,,N/M,Seizures,CHB-MIT,Public,"CHB-MIT: 16 patients (out of 23)
proportion calculated 16/23: 587.1/844h 
(1s windows, no overlap)",2113560,35226,16,23,256,,,1) 1s windows,Yes,No,No,"Area, Normalized Decay, Line Length, Mean Energy,Average Peak Amplitude, Average Valley Amplitude, Normalized Peak Number, Peak Variation, and Root Mean Square",Other,z-score,,N/M,"NN*
(FC I suppose)",FC,N/M,N/M,No,"126 features
(9 features x 14 channels)

(1s windows)","[2, 5]",5,ReLU,"L1
Dropout
([0.2, 0.5])",Yes,,,"1
(Softmax)",N/M,Gradient Descent with Early Stopping,Standard,N/M,N/M,"LR: [0.01, 0.1]",N/M,"Manually, by trying different things",Yes,Subsampling minority class to balance classes,N/M,Inter,Leave-One-Subject-Out,Leave-One-Subject-Out,"Train: 15 patients
Test: 1 patient","Sensitivity
Specificity
Precision
F-Score","sensitivity, specificity, precision, f1-score",N/M,,N/M,"Mean Sensitivity: 0.9806  (STD: 0.078)
Mean Specificity: 0.9929  (STD: 0.023)
Mean Precision: 0.7329  (STD: 0.33)
 Mean F-Score: 0.7816  (STD: 0.29)",This is an improvement on the most recently reported results on this database by Pinho et al. (2014),Traditional pipeline,,No,No,"Much remains to be improved in terms of precision of the classifier. Also, using the proposed classi- fier to detect seizure onsets is still a work in progress, where such a technique involves aggregating classifier outputs on multiple contiguous segments to achieve higher sensitivity and specificity.",N/M,No,N/A,No,,Yannick Roy,TBR,TBC,,Pramod2015
,Adaptive Recurrent Neural Network For Reduction Of Noise And Estimation Of Source From Recorded EEG Signals,2015," Pardede, Turnip, Manalu & Turnip",ARPN Journal of Engineering and Applied Sciences,No,Journal," Institut Teknologi Nasional, Indonesia",Indonesia,5,,Improvement of processing tools,Signal cleaning,Artifact handling,,New approach for removing noise and locating brain activity sources,Use an adaptive RNN for cleaning EEG,"""Normal conditions"", eyes closed, and blinking",N/M,,EPOC (Emotiv),None,Internal Recordings,Private,"8 subjects x (130s + 66s)
window size not mentioned 
(each stimuli = 1 sample ??)",N/M,26.3,8,6,128,,,1) Band-pass 0.5-49Hz,Yes,No,No,Raw EEG,Raw EEG,N/A,,N/M,RNN,RNN,N/M,N/M,No,N/M,N/M,N/M,N/M,N/M,N/M,,,N/M,N/M,Standard*,Standard,SGD,SGD,N/M,N/M,N/M,N/M,N/M,Minimum entropy,,N/M,No,N/M,Performance factor defined in the paper,custom,N/M,,N/M,Curves are shown in the paper.,No,None,No,No,No,The proposed method outperforms baselines for 6 out of 8 subjects.,N/M,No,N/A,No,,Isabela Albuquerque,TBR,TBC,,Pardede2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EEG-based emotion classification using deep belief networks,2014,"Zheng, Zhu, Peng & Lu",IEEE International Conference on Multimedia and Expo,No,Conference,"Shanghai Jiao Tong University, China",China,6,,Classification of EEG signals,Monitoring,Affective,Emotion,Improve SOTA,Use DBN and DBN+HMM on DE features for emotion classification (2 classes: Positive/Negative),Short Movie Clips eliciting positive/negative emotions,The efficiency of DBN model can combine feature ex- traction and feature selection when doing unsupervised and supervised learning.,,(NeuroScan),"Emotions
(PSD)",Internal Recordings,Private,"6 subjects x 12 clips (6 pos / 6 neg)  x (4min + 30s) x 2 sessions
(4min --> 1s window, no overlap)",34560,576,6,62,1000,Offline,,"1) Downsampled to 200Hz
2) Pass-band filter: 0.3 - 50Hz
3) Short-Time FT with 1s Hanning Window -> 5 Freq Bands
4) Differential Entropy for each band",Yes,No,No,"Differential Entropy (DE) of 5 F. Bands (D,T,A,B,G)
62 channels * 5 bands = 310 features
Smoothed with linear dynamic system (LDS)",Frequency-domain,z-score,,N/M,DBN-HMM,DBN,DBN + HMM after,"Combining DBN and HMM can help bridge the gap between static and sequence pattern recognition, which has been successfully used in sleep stage classification using EEG [4]",No,310 x 1,2,2,N/M,N/M,N/M,2,"Positive Emotion
Negative Emotion",2,N/M,An efficient greedy layer-wise algorithm is used to pre-train each layer of networks,Pre-training,N/M,N/M,LR: 0.05,200,N/M,N/M,N/M,"Energy Function
(see paper)",Intra,No,No,"Train: 8 / 12
Test: 4 / 12",Accuracy,accuracy,N/M,,N/M,"                      Delta | Theta | Alpha |  Beta  | Gamma | Total
   DBN-HMM:   61.45 | 58.39 | 71.57 | 85.45  |  87.33  |  87.62 
   DBN:             61.98 | 58.36 | 69.22 | 85.96  |  88.40  |  86.91 ","kNN
SVM
GELM",DL & Trad.,No,No,No,"In this paper, the experiment results show that high frequency-band (beta and gamma) features are more related to emotion recognition, which is consistent with previous work, proposing higher frequency brain activity reflecting emotional and cognitive processes [8] [9].",N/M,No,N/A,No,,Yannick Roy,TBR,TBC,,Zheng2014
